feature,data_type,unique_values,mean,std,min,max
Y002_<None>,bool,2,,,,
M01601_2,bool,2,,,,
M01601_3,bool,2,,,,
M01601_4,bool,2,,,,
M01601_5,bool,2,,,,
M01601_6,bool,2,,,,
M01601_<None>,bool,2,,,,
W001_2,bool,2,,,,
W001_3,bool,2,,,,
W001_4,bool,2,,,,
W001_9,bool,2,,,,
W001_<None>,bool,2,,,,
J001_2,bool,2,,,,
J001_3,bool,2,,,,
J001_4,bool,2,,,,
J001_5,bool,2,,,,
N00101_2,bool,2,,,,
N00101_3,bool,2,,,,
N00101_4,bool,2,,,,
N00101_5,bool,2,,,,
N00101_<None>,bool,2,,,,
P052_2,bool,2,,,,
P052_3,bool,2,,,,
P052_<None>,bool,2,,,,
R011_2,bool,2,,,,
R011_3,bool,2,,,,
R011_4,bool,2,,,,
R011_5,bool,2,,,,
R011_6,bool,2,,,,
R011_7,bool,2,,,,
R011_<None>,bool,2,,,,
