start_position,length,column_name
1,2,V0001
3,7,V0024
10,9,UPA_PNS
19,4,V0006_PNS
23,2,V0015
25,4,V0020
29,2,V0022
31,1,V0026
32,1,V0031
33,1,V0025A
34,1,V0025B
35,1,A001
36,1,A002010
37,1,A003010
38,1,A004010
39,2,A01001
41,2,A011
43,1,A005010
44,1,A005012
45,1,A00601
46,1,A009010
47,2,A01401
49,2,A01402
51,1,A01403
52,1,A01501
53,1,A016010
54,1,A018011
55,2,A018012
57,1,A018013
58,2,A018014
60,1,A018015
61,2,A018016
63,1,A018017
64,2,A018018
66,1,A018019
67,2,A018020
69,1,A018021
70,2,A018022
72,1,A018023
73,2,A018024
75,1,A018025
76,2,A018026
78,1,A018027
79,2,A018028
81,1,A01901
82,1,A02101
83,2,A02102
85,1,A02201
86,2,A02305
88,2,A02306
90,2,A02307
92,2,A02308
94,2,A02401
96,2,A02402
98,1,B001
99,1,B002
100,1,B003
101,1,B004
102,2,C001
104,2,C00301
106,2,C004
108,1,C006
109,2,C00701
111,2,C00702
113,4,C00703
117,3,C008
120,1,C009
121,1,C01001
122,2,C010010
124,1,C013
125,1,C014
126,1,C015
127,1,C016
128,1,C017
129,1,C018
130,3,C01801
133,1,C011
134,1,C012
135,1,D001
136,1,D00201
137,1,D00202
138,2,D00301
140,1,D00501
141,2,D006
143,1,D00601 
144,1,D007
145,1,D008
146,2,D00901
148,1,D010
149,1,D01101
150,1,D01201
151,2,D01301
153,1,D01302
154,1,D01303
155,1,D014
156,2,D015
158,1,E001
159,1,E002
160,1,E003
161,1,E004
162,1,E005
163,1,E006011
164,1,E008
165,1,E010010
166,2,E010011
168,2,E010012
170,2,E010013
172,1,E011
173,4,E01201
177,1,E01401
178,1,E014011
179,1,E01402
180,1,E01403
181,5,E01501
186,1,E01601
187,8,E01602
195,1,E01603
196,8,E01604
204,1,E01605
205,3,E017
208,1,E01801
209,8,E01802
217,1,E01803
218,8,E01804
226,1,E01805
227,3,E019
230,1,E022
231,2,E023011
233,2,E024011
235,1,E02402
236,2,E024021
238,1,E025
239,2,E02501
241,2,E02502
243,2,E02503
245,1,E026
246,1,E02601
247,1,E02801
248,1,E02802
249,1,E02803
250,1,E02804
251,1,E02805
252,1,E02806
253,1,E030
254,1,E03101
255,1,E03102
256,1,E03103
257,1,E03104
258,1,E03105
259,1,E03106
260,1,E03107
261,1,E03108
262,1,E032
263,3,E033
266,1,E027
267,1,F001011
268,8,F001021
276,1,F007011
277,8,F007021
285,1,F008011
286,8,F008021
294,1,VDF001
295,8,VDF00102
303,1,F016
304,1,G033
305,1,G034
306,1,G035
307,1,G036
308,1,G038
309,1,G039
310,1,G040
311,1,G041
312,1,G042
313,1,G044
314,1,G046
315,1,G047
316,1,G048
317,1,G049
318,1,G050
319,1,G051
320,1,G052
321,1,G053
322,1,G054
323,1,G055
324,1,G057
325,1,G058
326,1,G05801
327,1,G059
328,1,G060
329,1,G061
330,1,G062
331,1,G063
332,1,G064
333,1,G065
334,1,G066
335,1,G067
336,1,G068
337,1,G070
338,1,G071
339,1,G072
340,1,G073
341,1,G074
342,1,G075
343,1,G076
344,1,G077
345,1,G079
346,1,G080
347,1,G081
348,1,G082
349,1,G083
350,1,G084
351,1,G085
352,1,G086
353,1,G032
354,1,I00101
355,1,I00102
356,2,I001021
358,1,I00103
359,2,I001031
361,1,I005
362,1,I006
363,1,I004
364,1,I00401
365,1,I00402
366,1,I00403
367,1,I00404
368,1,I010010
369,1,I012
370,1,J001
371,1,J00101
